lat,lng,category,severity,name
28.651,77.19,theft,35,Karol Bagh Snatching Cluster
28.6448,77.2167,theft,32,Paharganj Tourist Crime Belt
28.6562,77.241,assault,38,Old Delhi Night Risk Zone
28.6692,77.267,theft,40,Seelampur High Density Cluster
28.6469,77.3155,theft,30,Anand Vihar Transit Risk
28.5896,77.2518,accident_prone,28,Sarai Kale Khan ISBT Zone
28.5363,77.2576,assault,34,Govindpuri Assault Reports Zone
28.4996,77.2386,poor_lighting,37,Sangam Vihar Informal Settlement
28.5494,77.2001,theft,29,Hauz Khas Nightlife Risk
28.6315,77.2167,theft,22,Connaught Place Dense Commercial
28.5677,77.2436,theft,27,Lajpat Nagar Market Pickpocketing
28.6365,77.0926,theft,26,Tilak Nagar Local Crime Cluster
28.6667,77.2285,accident_prone,30,Kashmere Gate Transport Hub
28.6143,77.209,theft,5,Central Secretariat Secure Zone
28.5983,77.1886,theft,8,Chanakyapuri Diplomatic Enclave
28.5921,77.046,poor_lighting,12,Dwarka Planned Low Risk Zone
